layer,lr_accuracy_mean,lr_accuracy_std,diffmean_1d_accuracy,lr_diffmean_cosine
0,0.9043034460231911,0.014238547185309227,0.6964285714285714,0.050135963
1,0.894136861015842,0.027776154813114875,0.7091836734693877,-0.029612841
2,0.918340682671893,0.020434809755278262,0.6938775510204082,-0.03824049
3,0.9247101094234853,0.016528620442897067,0.6862244897959183,-0.020593142
4,0.931112199902009,0.013050129790954617,0.6836734693877551,-0.014810389
5,0.9119630899885678,0.013210054795459026,0.6811224489795918,-0.040348284
6,0.9093908214927323,0.021749578616504756,0.6862244897959183,-0.0406902
7,0.9451821002776416,0.021874145822929486,0.7040816326530612,-0.0216115
8,0.9566225706353094,0.012391827637736347,0.6989795918367347,-0.00981931
9,0.9591948391311449,0.01588813337574983,0.6938775510204082,-0.008848331
10,0.9502204801567858,0.01743196731041704,0.6913265306122449,0.017266996
11,0.9579127878490936,0.013101534473970224,0.6836734693877551,0.016088406
12,0.9413196145680223,0.012385497773686027,0.6836734693877551,0.015794782
13,0.9477135391148129,0.015258444960073751,0.6862244897959183,-0.0055084643
14,0.940037563285971,0.008747066145178655,0.6836734693877551,-0.030955564
15,0.9348930262943002,0.023881791940594064,0.6811224489795918,-0.03382708
16,0.9361832435080844,0.025312992222303553,0.6836734693877551,-0.039127074
17,0.93619957537155,0.011572586050880395,0.6913265306122449,-0.06746031
18,0.9387473460721869,0.01968806648822805,0.6836734693877551,-0.048027925
19,0.9310877021068104,0.01881194609966248,0.6811224489795918,-0.024972545
20,0.9463743263106321,0.02648894836959534,0.6862244897959183,-0.02490686
21,0.9464069900375633,0.009689338248526821,0.6913265306122449,-0.0015063314
22,0.9438347215417279,0.018838816896303325,0.6938775510204082,0.008269116
23,0.9310795361750778,0.022765703818194098,0.6887755102040817,0.00933758
24,0.9222113343132451,0.019841809386332312,0.6556122448979592,-0.008097867
25,0.9400293973542382,0.020855322833000327,0.6556122448979592,-0.010860261
26,0.9311040339702761,0.029212307975524016,0.6632653061224489,-0.040985294
27,0.9285399314061735,0.018795349648469926,0.6760204081632653,-0.01639494
28,0.9209129511677283,0.016438935315540852,0.673469387755102,-0.033099633
29,0.908157765801078,0.016443185844142498,0.673469387755102,-0.018010244
30,0.9069165441776906,0.024946091471893347,0.673469387755102,-0.03411548
31,0.911995753715499,0.01724979583605061,0.6632653061224489,-0.022521496
32,0.9145108606892046,0.01660799554283176,0.6607142857142857,-0.018256724
33,0.9017801731177528,0.013156063657005323,0.6683673469387755,-0.03356331
34,0.9170831291850401,0.013416961316923236,0.6709183673469388,-0.014815891
35,0.9055854973052426,0.015999592378381916,0.6760204081632653,0.011486841
